0000,894673807798673,821014666737235,three-quarter perspective view of a greenhouse path; post-rain calm; miniature-like stylization; balanced composition with clear foreground middle ground and background; rounded cartoon outlines; editorial digital illustration; clean contours and simplified shading; overcast-like even lighting and subtle shadow
0001,625183301861600,227197508891198,three-quarter perspective view of a island lighthouse; clear morning air; storybook stylization; dense composition with layered environmental detail; bold outer contours with simple inner lines; storybook digital illustration; readable shapes with crisp edges; even lighting with soft shading and almost no cast shadow
0002,910873927065411,505331533285599,side profile pose of a red fox in a quiet room; stylized anatomy; balanced composition with a few habitat elements; precise technical contour lines; anime-inspired digital illustration; clean contours and simplified shading; flat lighting with very gentle shading
0003,580711313115788,699846038325231,constellation diagram; radial composition; diagrammatic construction; sparse arrangement with generous negative space; variable-width pen lines; anime-inspired digital illustration; well-separated forms and clean outlines; even lighting with soft shading and almost no cast shadow
0004,803074530456780,448438674510350,eye-level travel sketch view of a forest clearing; light mist; simplified graphic forms; dense composition with layered environmental detail; ultra-thin delicate lines; editorial digital illustration; clean contours and simplified shading; soft diffuse lighting with minimal shadow and subtle shading
0005,420079741157561,453754272928745,eye-level close view of a desk fan on a window sill; overlapping cluster; simplified graphic forms; dense composition with many small details; rounded cartoon outlines; clean digital illustration; well-separated forms and clean outlines; low-contrast lighting with soft shading and minimal shadow
0006,467041641167084,858028865229245,high-angle overlook of a old shrine approach; gentle spring haze; simplified graphic forms; balanced composition with clear foreground middle ground and background; variable-width pen lines; anime-inspired digital illustration; clear contour lines and readable silhouettes; soft diffuse lighting with minimal shadow and subtle shading
0007,230969855884341,989988881272469,eye-level travel sketch view of a mountain trail; light mist; miniature-like stylization; dense composition with layered environmental detail; bold outer contours with simple inner lines; anime-inspired digital illustration; clear contour lines and readable silhouettes; soft diffuse lighting with minimal shadow and subtle shading
0008,307316786268528,707234996040936,eye-level travel sketch view of a botanical garden walkway; clear morning air; semi-realistic forms; dense composition with layered environmental detail; bold outer contours with simple inner lines; storybook digital illustration; clean contours and simplified shading; low-contrast lighting with soft shading and minimal shadow
0009,863227455562581,692955254718490,dynamic motion pose of a field scientist in a riverside promenade; resting for a moment; strongly deformed cute proportions; minimal composition with wide negative space; rounded cartoon outlines; storybook digital illustration; readable shapes with crisp edges; low-contrast lighting with soft shading and minimal shadow
0010,322085306965911,592735153860867,low-angle heroic pose of a blacksmith in a classroom; captured in a candid pause; semi-realistic proportions; balanced composition with a few supporting elements; precise technical contour lines; vector-like digital illustration; readable shapes with crisp edges; flat lighting with very gentle shading
0011,491212260069943,267425317603492,wide panoramic view of a snowy village; soft overcast weather; storybook stylization; dense composition with layered environmental detail; brush-like digital linework with clean edges; storybook digital illustration; readable shapes with crisp edges; low-contrast lighting with soft shading and minimal shadow
0012,963772531256579,367515152755562,modular stair steps; diagonal sweeping composition; precise vector-like structure; sparse arrangement with generous negative space; medium-weight clean outlines; clean digital illustration; clear contour lines and readable silhouettes; soft diffuse lighting with minimal shadow and subtle shading
0013,479275730895307,906518602743418,side profile portrait of a stage magician in a plain studio backdrop; preparing for work; semi-realistic proportions; minimal composition with wide negative space; bold outer contours with simple inner lines; vector-like digital illustration; clear contour lines and readable silhouettes; even lighting with soft shading and almost no cast shadow
0014,442057637485915,503711722538875,wide panoramic view of a market street; post-rain calm; semi-realistic forms; balanced composition with clear foreground middle ground and background; variable-width pen lines; clean digital illustration; clear contour lines and readable silhouettes; low-contrast lighting with soft shading and minimal shadow
0015,635454161546436,218033611845733,sleeping pose of a zebra in tall grass; strongly deformed cute anatomy; dense composition with layered habitat detail; ultra-thin delicate lines; storybook digital illustration; clear contour lines and readable silhouettes; soft ambient lighting with restrained shading and minimal contrast
0016,347409828718458,734042098511285,dynamic motion pose of a train conductor in a classroom; captured in a candid pause; stylized proportions; dense composition with layered details; ultra-thin delicate lines; clean digital illustration; readable shapes with crisp edges; soft ambient lighting with restrained shading and minimal contrast
0017,219405885130648,521757183171788,three-quarter front view of a excavator in an open field; simplified graphic mechanical forms; minimal composition with a single clear subject; precise technical contour lines; anime-inspired digital illustration; readable shapes with crisp edges; low-contrast lighting with soft shading and minimal shadow
0018,157384463956709,264223540882422,straight-on shelf view of plush toys on a kitchen counter; overlapping cluster; diagram-like simplification; balanced composition with a few supporting items; rounded cartoon outlines; storybook digital illustration; well-separated forms and clean outlines; soft diffuse lighting with minimal shadow and subtle shading
0019,178468433575519,704355273598225,top-down view of fountain pens on a wooden desk; diagonal arrangement across the frame; playful stylization; balanced composition with a few supporting items; precise technical contour lines; anime-inspired digital illustration; well-separated forms and clean outlines; soft diffuse lighting with minimal shadow and subtle shading
0020,331140981363643,521778725788472,sleeping pose of a frog against a plain backdrop; semi-realistic anatomy; minimal composition with a clear silhouette; precise technical contour lines; clean digital illustration; clean contours and simplified shading; low-contrast lighting with soft shading and minimal shadow
0021,609384136474618,230546724329111,wide panoramic view of a observatory hill; thin cloud cover; simplified graphic forms; balanced composition with clear foreground middle ground and background; precise technical contour lines; anime-inspired digital illustration; well-separated forms and clean outlines; flat lighting with very gentle shading
0022,444308638630755,621834620184397,sitting pose of a rabbit on a snowy field; stylized anatomy; balanced composition with a few habitat elements; variable-width pen lines; storybook digital illustration; clean contours and simplified shading; even lighting with soft shading and almost no cast shadow
0023,589056483702203,145331825649962,top-down view of a streetcar on a quiet street; playful cartoon engineering; minimal composition with a single clear subject; medium-weight clean outlines; storybook digital illustration; readable shapes with crisp edges; soft diffuse lighting with minimal shadow and subtle shading
